User Context,Content Type,Language,Action Type,Bucket,Num Bucket Samples,AUC score,AUC score - User Level,NDCG@5 Score - User Level,NDCG@10 Score - User Level,MAPK@5 score - User Level,MAPK@10 score - User Level
price,video,Hindi,like,1,4608011,0.7751188415604077,0.6467562060395686,0.48041259603806585,0.5349571298221126,0.3934614861111106,0.41858812244897753
price,video,Hindi,like,2,9407093,0.8302750770259837,0.6694895711612574,0.42276721215369073,0.47581076871597316,0.3422495277777807,0.3640183750393678
price,video,Hindi,like,3,14011965,0.8577099560961986,0.6700235113604763,0.3918092391180931,0.442005303352556,0.3143555833333344,0.33336963574735473
price,video,Hindi,like,4,20681123,0.8770744400830732,0.6711540157134486,0.3649981999772525,0.41291735973378907,0.2907564166666687,0.3078382904541454
price,video,Hindi,like,5,28202117,0.8911226439734717,0.6713603788664383,0.3453579397980943,0.3892865294724238,0.27423581944444675,0.2879820071727777
price,video,Hindi,like,6,38697044,0.9014025933422456,0.6719661186122595,0.3212470060579533,0.36120266795796324,0.25243062500000346,0.26352090447058685
price,video,Hindi,like,7,51680056,0.9096477385676265,0.6694697858184501,0.29495571998264936,0.3300147136593655,0.22970591666667042,0.236771563137757
price,video,Hindi,like,8,68212579,0.9167007109781958,0.6657880225802116,0.27130285644881547,0.30098219966902445,0.20972004166666872,0.21317346045131175
price,video,Hindi,like,9,102904577,0.9226397118274619,0.664978117079229,0.2406028874570764,0.26550183794068194,0.18236722222222296,0.1830864498535547
price,video,Hindi,like,10,195296044,0.9297763440985418,0.6520428574916904,0.18781029621281886,0.2035709840196098,0.13775086111111076,0.13435216643046188
location,video,Hindi,like,1,4608011,0.775541339898969,0.6473710959751081,0.4812755679184771,0.5353513155103987,0.3942697499999991,0.4191203939200643
location,video,Hindi,like,2,9407093,0.8302580281949805,0.6692418426521624,0.42132655280356773,0.47571815840247517,0.34108844444444647,0.3638435421863184
location,video,Hindi,like,3,14011965,0.8577210085941421,0.6703174516539006,0.3921591729638972,0.44167170393082444,0.31540725000000214,0.3339570586104795
location,video,Hindi,like,4,20681123,0.8771862612327073,0.6719324058189231,0.3652032315525443,0.4135027724306479,0.29109787500000334,0.3083074189027478
location,video,Hindi,like,5,28202117,0.8911716648289734,0.6710138845006499,0.34626192552126606,0.3896183371257823,0.2750326250000023,0.28846364765999144
location,video,Hindi,like,6,38697044,0.9014640750967667,0.6723816784268463,0.3208888431178859,0.3608004615500288,0.25149813888889117,0.26291750911753753
location,video,Hindi,like,7,51680056,0.9096842197416302,0.669772840830002,0.29464151446718506,0.3310639880104032,0.22939270833333644,0.23755827485670292
location,video,Hindi,like,8,68212579,0.9167493586856929,0.6668408686613265,0.2717289329032148,0.30135866123707966,0.20945701388889007,0.21347818722442866
location,video,Hindi,like,9,102904577,0.9226981545727387,0.6647919614352139,0.24175015449526027,0.2667071978536246,0.18354902777777862,0.18408705070546896
location,video,Hindi,like,10,195296044,0.9298188996294999,0.6523582378866306,0.1863544649648647,0.20285889889213335,0.13650055555555488,0.13354853006109926
location,video,Hindi,vplay2,1,6841216,0.7719714237666961,0.7323450733374639,0.6356979843684256,0.6765668848422242,0.5405978194444587,0.5570201637613394
location,video,Hindi,vplay2,2,10872775,0.7794383221781179,0.7381005896449404,0.6137697296797519,0.6541785839137481,0.5175050416666747,0.5315343547335647
location,video,Hindi,vplay2,3,14854385,0.7857290221352954,0.7376892096263468,0.5989098172588475,0.641474474383511,0.5019490000000109,0.5163178646463268
location,video,Hindi,vplay2,4,21658196,0.7926097134147609,0.7425008713822924,0.5898626732320846,0.6299180473667276,0.49146188888889936,0.5031241018282308
location,video,Hindi,vplay2,5,30871760,0.7986071503527508,0.7465944797646499,0.5854992749875472,0.6248576575827826,0.48697488888889884,0.4965980717592597
location,video,Hindi,vplay2,6,42487280,0.8039640807685806,0.7482572393855108,0.5762881285456523,0.6124110967726359,0.4755518888889029,0.48113966259605595
location,video,Hindi,vplay2,7,59817243,0.8079965595406452,0.752314044611484,0.570729461466649,0.6013265276650803,0.46911450000001526,0.467779703310025
location,video,Hindi,vplay2,8,92092206,0.8117235087562629,0.7577506515462469,0.5635095939564118,0.5873327405834451,0.4599184583333472,0.45120303491905944
location,video,Hindi,vplay2,9,143347384,0.8147959115613732,0.7640726788496489,0.5487219640044024,0.562004693654099,0.4429858472222389,0.42174186968537325
location,video,Hindi,vplay2,10,345662923,0.8182457371471396,0.7654722070496801,0.523175435705283,0.5202096038378131,0.4141348888889093,0.3758025714600664
